Date,1_MO,3_MO,6_MO,1_YR,2_YR,3_YR,5_YR,7_YR,10_YR,20_YR,30_YR
7/24/2018,1.92,2.02,2.19,2.42,2.63,2.74,2.83,2.91,2.95,3.02,3.08
7/23/2018,1.88,1.99,2.19,2.42,2.64,2.72,2.83,2.92,2.96,3.04,3.1
7/20/2018,1.86,1.99,2.16,2.41,2.6,2.68,2.77,2.85,2.89,2.96,3.03
7/19/2018,1.89,2,2.16,2.4,2.6,2.67,2.74,2.81,2.84,2.9,2.96
7/18/2018,1.9,2,2.17,2.43,2.6,2.69,2.77,2.84,2.88,2.93,2.99
7/17/2018,1.93,2.02,2.19,2.39,2.62,2.69,2.76,2.83,2.86,2.91,2.97
7/16/2018,1.9,2.01,2.19,2.39,2.59,2.67,2.75,2.82,2.85,2.9,2.96
7/13/2018,1.87,1.98,2.16,2.37,2.59,2.66,2.73,2.8,2.83,2.87,2.94
7/12/2018,1.89,1.98,2.17,2.39,2.6,2.68,2.75,2.83,2.85,2.89,2.95
7/11/2018,1.89,1.97,2.14,2.36,2.58,2.67,2.74,2.82,2.85,2.89,2.95
7/10/2018,1.88,1.99,2.15,2.36,2.59,2.69,2.77,2.83,2.87,2.91,2.97
7/9/2018,1.87,1.98,2.15,2.34,2.57,2.66,2.75,2.82,2.86,2.9,2.96
7/6/2018,1.86,1.97,2.13,2.34,2.53,2.64,2.71,2.78,2.82,2.87,2.94
7/5/2018,1.87,1.96,2.11,2.32,2.55,2.65,2.74,2.8,2.84,2.88,2.95
7/3/2018,1.91,1.98,2.12,2.33,2.53,2.63,2.72,2.79,2.83,2.89,2.96
7/2/2018,1.9,1.98,2.14,2.34,2.57,2.65,2.75,2.83,2.87,2.92,2.99
6/29/2018,1.77,1.93,2.11,2.33,2.52,2.63,2.73,2.81,2.85,2.91,2.98
6/28/2018,1.76,1.93,2.11,2.33,2.52,2.6,2.73,2.81,2.84,2.91,2.97
6/27/2018,1.79,1.93,2.1,2.33,2.52,2.59,2.71,2.79,2.83,2.9,2.97
6/26/2018,1.79,1.93,2.14,2.33,2.53,2.63,2.75,2.84,2.88,2.95,3.03
6/25/2018,1.8,1.93,2.13,2.34,2.54,2.63,2.75,2.83,2.87,2.95,3.02
6/22/2018,1.83,1.93,2.11,2.33,2.56,2.65,2.77,2.86,2.9,2.97,3.04
6/21/2018,1.85,1.94,2.12,2.34,2.56,2.65,2.77,2.86,2.9,2.97,3.04
6/20/2018,1.85,1.94,2.14,2.36,2.56,2.67,2.8,2.89,2.93,2.99,3.06
6/19/2018,1.85,1.94,2.13,2.34,2.54,2.64,2.77,2.84,2.89,2.95,3.02
6/18/2018,1.84,1.94,2.13,2.35,2.56,2.67,2.8,2.89,2.92,2.98,3.05
6/15/2018,1.82,1.94,2.07,2.35,2.55,2.68,2.81,2.89,2.93,2.98,3.05
6/14/2018,1.81,1.94,2.07,2.35,2.59,2.69,2.81,2.9,2.94,2.99,3.05
6/13/2018,1.82,1.94,2.09,2.35,2.59,2.71,2.85,2.95,2.98,3.04,3.1
6/12/2018,1.81,1.92,2.1,2.31,2.54,2.67,2.81,2.91,2.96,3.02,3.09
6/11/2018,1.82,1.94,2.11,2.32,2.52,2.66,2.8,2.91,2.96,3.02,3.1
6/8/2018,1.78,1.93,2.12,2.3,2.5,2.63,2.77,2.88,2.93,3,3.08
6/7/2018,1.78,1.94,2.12,2.31,2.5,2.63,2.77,2.88,2.93,3,3.08
6/6/2018,1.81,1.95,2.13,2.32,2.52,2.65,2.81,2.93,2.97,3.05,3.13
6/5/2018,1.82,1.94,2.13,2.32,2.49,2.62,2.76,2.87,2.92,2.99,3.07
6/4/2018,1.77,1.94,2.13,2.3,2.52,2.64,2.78,2.89,2.94,3,3.08
6/1/2018,1.74,1.92,2.1,2.28,2.47,2.61,2.74,2.85,2.89,2.96,3.04
5/31/2018,1.76,1.93,2.08,2.23,2.4,2.54,2.68,2.78,2.83,2.91,3
5/30/2018,1.77,1.94,2.08,2.23,2.42,2.53,2.67,2.79,2.84,2.93,3.01
5/29/2018,1.77,1.93,2.06,2.17,2.32,2.43,2.58,2.71,2.77,2.87,2.96
5/25/2018,1.7,1.9,2.07,2.27,2.48,2.6,2.76,2.88,2.93,3.01,3.09
5/24/2018,1.74,1.91,2.09,2.28,2.5,2.65,2.82,2.93,2.98,3.06,3.13
5/23/2018,1.76,1.92,2.11,2.29,2.53,2.67,2.83,2.95,3.01,3.09,3.17
5/22/2018,1.73,1.93,2.13,2.34,2.59,2.73,2.9,3.02,3.06,3.14,3.21
5/21/2018,1.71,1.93,2.14,2.35,2.58,2.73,2.9,3.02,3.06,3.13,3.2
5/18/2018,1.68,1.91,2.09,2.32,2.55,2.71,2.9,3.02,3.06,3.14,3.2
5/17/2018,1.7,1.92,2.1,2.32,2.57,2.75,2.94,3.07,3.11,3.19,3.25
5/16/2018,1.69,1.92,2.09,2.32,2.58,2.76,2.94,3.05,3.09,3.16,3.21
5/15/2018,1.69,1.92,2.09,2.31,2.58,2.75,2.92,3.04,3.08,3.14,3.2
5/14/2018,1.7,1.93,2.09,2.28,2.55,2.7,2.85,2.96,3,3.06,3.13
5/11/2018,1.68,1.92,2.06,2.28,2.54,2.69,2.84,2.94,2.97,3.03,3.1
5/10/2018,1.69,1.9,2.05,2.27,2.54,2.69,2.83,2.94,2.97,3.04,3.12
5/9/2018,1.68,1.88,2.05,2.27,2.54,2.68,2.84,2.96,3,3.07,3.16
5/8/2018,1.69,1.87,2.05,2.26,2.51,2.66,2.81,2.93,2.97,3.04,3.13
5/7/2018,1.69,1.86,2.05,2.25,2.49,2.64,2.78,2.9,2.95,3.02,3.12
5/4/2018,1.67,1.84,2.03,2.24,2.51,2.63,2.78,2.9,2.95,3.02,3.12
5/3/2018,1.68,1.84,2.02,2.24,2.49,2.62,2.78,2.9,2.94,3.02,3.12
5/2/2018,1.69,1.84,2.03,2.24,2.49,2.64,2.8,2.92,2.97,3.04,3.14
5/1/2018,1.68,1.85,2.05,2.26,2.5,2.66,2.82,2.93,2.97,3.03,3.13
4/30/2018,1.65,1.87,2.04,2.24,2.49,2.62,2.79,2.91,2.95,3.01,3.11
4/27/2018,1.62,1.82,2.02,2.24,2.49,2.62,2.8,2.92,2.96,3.03,3.13
4/26/2018,1.62,1.82,2.02,2.25,2.49,2.63,2.82,2.95,3,3.08,3.18
4/25/2018,1.65,1.85,2.03,2.26,2.49,2.64,2.84,2.97,3.03,3.12,3.21
4/24/2018,1.7,1.87,2.05,2.25,2.48,2.63,2.83,2.95,3,3.08,3.18
4/23/2018,1.69,1.87,2.04,2.25,2.49,2.64,2.83,2.94,2.98,3.05,3.15
4/20/2018,1.65,1.81,2.01,2.22,2.46,2.62,2.8,2.91,2.96,3.04,3.14
4/19/2018,1.67,1.82,2.01,2.21,2.44,2.58,2.77,2.87,2.92,3.01,3.11
4/18/2018,1.67,1.81,2.01,2.17,2.42,2.57,2.73,2.83,2.87,2.95,3.06
4/17/2018,1.68,1.8,2.02,2.16,2.41,2.52,2.68,2.77,2.82,2.89,3
4/16/2018,1.64,1.79,1.98,2.12,2.39,2.52,2.69,2.78,2.83,2.91,3.03
4/13/2018,1.64,1.76,1.97,2.12,2.37,2.51,2.67,2.77,2.82,2.91,3.03
4/12/2018,1.65,1.75,1.95,2.11,2.34,2.49,2.67,2.78,2.83,2.92,3.05
4/11/2018,1.64,1.73,1.95,2.09,2.32,2.45,2.62,2.72,2.79,2.87,2.99
4/10/2018,1.63,1.74,1.93,2.09,2.32,2.45,2.62,2.74,2.8,2.89,3.02
4/9/2018,1.67,1.76,1.93,2.08,2.29,2.43,2.6,2.72,2.78,2.89,3.02
4/6/2018,1.68,1.73,1.91,2.06,2.27,2.4,2.58,2.7,2.77,2.89,3.01
4/5/2018,1.67,1.72,1.93,2.07,2.3,2.45,2.64,2.76,2.83,2.95,3.07
4/4/2018,1.67,1.71,1.9,2.07,2.28,2.42,2.61,2.73,2.79,2.91,3.03
4/3/2018,1.7,1.75,1.92,2.09,2.28,2.41,2.6,2.73,2.79,2.9,3.02
4/2/2018,1.68,1.77,1.92,2.08,2.25,2.37,2.55,2.67,2.73,2.85,2.97
3/29/2018,1.63,1.73,1.93,2.09,2.27,2.39,2.56,2.68,2.74,2.85,2.97
3/28/2018,1.65,1.73,1.95,2.12,2.28,2.41,2.59,2.72,2.77,2.89,3.01
3/27/2018,1.69,1.77,1.93,2.1,2.26,2.39,2.58,2.7,2.78,2.9,3.03
3/26/2018,1.71,1.79,1.94,2.06,2.33,2.44,2.64,2.78,2.85,2.96,3.08
3/23/2018,1.69,1.74,1.92,2.04,2.28,2.41,2.61,2.74,2.82,2.94,3.06
3/22/2018,1.67,1.72,1.95,2.05,2.29,2.43,2.63,2.76,2.83,2.94,3.06
3/21/2018,1.71,1.74,1.95,2.06,2.31,2.46,2.69,2.82,2.89,3.01,3.12
3/20/2018,1.76,1.81,1.97,2.08,2.34,2.49,2.69,2.82,2.89,3.01,3.12
3/19/2018,1.7,1.8,1.99,2.08,2.31,2.45,2.65,2.78,2.85,2.97,3.09
3/16/2018,1.71,1.78,1.96,2.08,2.31,2.44,2.65,2.78,2.85,2.96,3.08
3/15/2018,1.7,1.77,1.95,2.07,2.29,2.42,2.62,2.76,2.82,2.94,3.05
3/14/2018,1.71,1.76,1.94,2.05,2.26,2.41,2.61,2.75,2.81,2.94,3.05
3/13/2018,1.64,1.73,1.9,2.03,2.26,2.41,2.62,2.77,2.84,2.98,3.1
3/12/2018,1.6,1.71,1.89,2.05,2.27,2.43,2.64,2.79,2.87,3,3.13
3/9/2018,1.57,1.67,1.89,2.03,2.27,2.45,2.65,2.82,2.9,3.04,3.16
3/8/2018,1.57,1.67,1.89,2.05,2.25,2.42,2.63,2.79,2.86,3.01,3.13
3/7/2018,1.57,1.68,1.87,2.05,2.25,2.42,2.65,2.81,2.89,3.04,3.15
3/6/2018,1.56,1.68,1.87,2.06,2.25,2.42,2.65,2.81,2.88,3.03,3.14
3/5/2018,1.53,1.7,1.86,2.06,2.24,2.41,2.65,2.81,2.88,3.04,3.16
3/2/2018,1.5,1.65,1.86,2.06,2.25,2.4,2.63,2.79,2.86,3.02,3.14
3/1/2018,1.5,1.63,1.85,2.05,2.22,2.36,2.58,2.74,2.81,2.97,3.09
2/28/2018,1.5,1.65,1.86,2.07,2.25,2.42,2.65,2.8,2.87,3.02,3.13
2/27/2018,1.49,1.66,1.87,2.08,2.27,2.43,2.67,2.83,2.9,3.06,3.17
2/26/2018,1.39,1.66,1.87,2.03,2.22,2.37,2.6,2.77,2.86,3.03,3.15
2/23/2018,1.38,1.64,1.85,2.02,2.25,2.39,2.62,2.79,2.88,3.04,3.16
2/22/2018,1.34,1.63,1.84,2.02,2.25,2.42,2.66,2.84,2.92,3.09,3.21
2/21/2018,1.4,1.64,1.85,2.03,2.26,2.44,2.69,2.86,2.94,3.11,3.22
2/20/2018,1.39,1.66,1.87,2.01,2.25,2.4,2.65,2.81,2.88,3.04,3.15
2/16/2018,1.35,1.62,1.83,2,2.21,2.38,2.63,2.81,2.87,3.02,3.13
2/15/2018,1.3,1.58,1.82,1.99,2.19,2.4,2.65,2.83,2.9,3.04,3.15
2/14/2018,1.32,1.58,1.81,1.98,2.17,2.4,2.65,2.84,2.91,3.07,3.18
2/13/2018,1.34,1.59,1.8,1.95,2.1,2.3,2.54,2.74,2.83,2.99,3.11
2/12/2018,1.35,1.62,1.82,1.93,2.09,2.3,2.56,2.77,2.86,3.02,3.14
2/9/2018,1.31,1.55,1.73,1.89,2.05,2.26,2.52,2.72,2.83,3.02,3.14
2/8/2018,1.32,1.55,1.73,1.91,2.13,2.32,2.57,2.76,2.85,3.03,3.14
2/7/2018,1.36,1.55,1.73,1.91,2.15,2.33,2.57,2.75,2.84,3.01,3.12
2/6/2018,1.48,1.52,1.69,1.87,2.1,2.3,2.52,2.7,2.79,2.94,3.06
2/5/2018,1.4,1.51,1.67,1.85,2.08,2.25,2.5,2.68,2.77,2.92,3.04
2/2/2018,1.4,1.48,1.65,1.88,2.15,2.33,2.58,2.76,2.84,2.97,3.08
2/1/2018,1.41,1.48,1.64,1.89,2.16,2.33,2.56,2.72,2.78,2.9,3.01
1/31/2018,1.43,1.46,1.66,1.9,2.14,2.29,2.52,2.66,2.72,2.83,2.95
1/30/2018,1.49,1.44,1.66,1.88,2.13,2.27,2.51,2.65,2.73,2.86,2.98
1/29/2018,1.28,1.44,1.66,1.8,2.11,2.26,2.49,2.63,2.7,2.82,2.94
1/26/2018,1.24,1.41,1.64,1.8,2.13,2.24,2.47,2.6,2.66,2.79,2.91
1/25/2018,1.23,1.42,1.64,1.8,2.08,2.2,2.41,2.55,2.63,2.76,2.89
1/24/2018,1.25,1.43,1.63,1.79,2.08,2.2,2.43,2.57,2.65,2.8,2.93
1/23/2018,1.26,1.44,1.63,1.78,2.06,2.18,2.43,2.55,2.63,2.77,2.9
1/22/2018,1.27,1.44,1.65,1.79,2.08,2.21,2.46,2.59,2.66,2.79,2.93
1/19/2018,1.28,1.44,1.62,1.79,2.06,2.2,2.45,2.57,2.64,2.78,2.91
1/18/2018,1.29,1.45,1.63,1.79,2.05,2.17,2.43,2.55,2.62,2.77,2.9
1/17/2018,1.31,1.44,1.63,1.79,2.05,2.15,2.39,2.51,2.57,2.71,2.84
1/16/2018,1.33,1.45,1.63,1.79,2.03,2.12,2.36,2.48,2.54,2.69,2.83
1/12/2018,1.31,1.43,1.59,1.78,1.99,2.12,2.35,2.48,2.55,2.71,2.85
1/11/2018,1.32,1.43,1.58,1.77,1.98,2.09,2.32,2.46,2.54,2.72,2.91
1/10/2018,1.31,1.42,1.59,1.78,1.98,2.08,2.32,2.47,2.55,2.73,2.88
1/9/2018,1.27,1.44,1.6,1.78,1.98,2.09,2.33,2.46,2.55,2.72,2.88
1/8/2018,1.3,1.45,1.6,1.79,1.96,2.07,2.29,2.41,2.49,2.65,2.81
1/5/2018,1.27,1.39,1.58,1.8,1.96,2.06,2.29,2.4,2.47,2.64,2.81
1/4/2018,1.28,1.41,1.6,1.82,1.96,2.05,2.27,2.38,2.46,2.62,2.79
1/3/2018,1.29,1.41,1.59,1.81,1.94,2.02,2.25,2.37,2.44,2.62,2.78
1/2/2018,1.29,1.44,1.61,1.83,1.92,2.01,2.25,2.38,2.46,2.64,2.81
12/29/2017,1.28,1.39,1.53,1.76,1.89,1.98,2.2,2.33,2.4,2.58,2.74
12/28/2017,1.19,1.39,1.54,1.76,1.91,2,2.23,2.36,2.43,2.6,2.75
12/27/2017,1.18,1.44,1.53,1.75,1.89,1.99,2.22,2.34,2.42,2.59,2.75
12/26/2017,1.24,1.47,1.52,1.75,1.92,2.02,2.25,2.38,2.47,2.66,2.82
12/22/2017,1.15,1.33,1.54,1.73,1.91,2.01,2.26,2.4,2.48,2.68,2.83
12/21/2017,1.21,1.35,1.54,1.73,1.89,2.01,2.26,2.39,2.48,2.68,2.84
12/20/2017,1.22,1.38,1.51,1.72,1.87,1.98,2.24,2.4,2.49,2.71,2.88
12/19/2017,1.25,1.37,1.51,1.71,1.87,1.97,2.23,2.37,2.46,2.66,2.82
12/18/2017,1.26,1.38,1.51,1.7,1.84,1.94,2.17,2.3,2.39,2.57,2.74
12/15/2017,1.24,1.31,1.48,1.71,1.84,1.95,2.16,2.28,2.35,2.52,2.68
12/14/2017,1.21,1.32,1.48,1.7,1.82,1.92,2.14,2.27,2.35,2.53,2.71
12/13/2017,1.22,1.3,1.47,1.68,1.79,1.9,2.12,2.26,2.36,2.56,2.74
12/12/2017,1.26,1.34,1.49,1.7,1.83,1.95,2.18,2.32,2.4,2.6,2.79
12/11/2017,1.18,1.33,1.47,1.69,1.82,1.95,2.16,2.3,2.39,2.59,2.77
12/8/2017,1.14,1.28,1.45,1.65,1.8,1.92,2.14,2.29,2.38,2.59,2.77
12/7/2017,1.16,1.29,1.47,1.67,1.8,1.92,2.14,2.29,2.37,2.58,2.76
12/6/2017,1.18,1.3,1.48,1.68,1.78,1.92,2.11,2.25,2.33,2.53,2.71
12/5/2017,1.21,1.3,1.48,1.64,1.83,1.94,2.15,2.28,2.36,2.55,2.73
12/4/2017,1.16,1.29,1.45,1.66,1.8,1.93,2.15,2.29,2.37,2.58,2.77
12/1/2017,1.14,1.27,1.45,1.62,1.78,1.9,2.13,2.28,2.37,2.58,2.76
11/30/2017,1.14,1.27,1.44,1.62,1.78,1.9,2.14,2.31,2.42,2.65,2.83
11/29/2017,1.17,1.29,1.45,1.61,1.78,1.86,2.09,2.27,2.37,2.62,2.81
11/28/2017,1.16,1.3,1.46,1.61,1.75,1.85,2.07,2.24,2.34,2.58,2.77
11/27/2017,1.15,1.27,1.41,1.62,1.74,1.84,2.06,2.21,2.32,2.57,2.76
11/24/2017,1.14,1.29,1.45,1.61,1.75,1.85,2.07,2.23,2.34,2.58,2.76
11/22/2017,1.16,1.29,1.45,1.61,1.74,1.84,2.05,2.22,2.32,2.57,2.75
11/21/2017,1.15,1.3,1.45,1.62,1.77,1.88,2.11,2.27,2.36,2.58,2.76
11/20/2017,1.09,1.3,1.46,1.62,1.77,1.86,2.09,2.26,2.37,2.6,2.78
11/17/2017,1.08,1.29,1.42,1.6,1.73,1.83,2.06,2.23,2.35,2.59,2.78
11/16/2017,1.08,1.27,1.42,1.59,1.72,1.83,2.07,2.25,2.37,2.62,2.81
11/15/2017,1.08,1.25,1.39,1.55,1.68,1.79,2.04,2.21,2.33,2.58,2.77
11/14/2017,1.06,1.26,1.4,1.55,1.68,1.81,2.06,2.26,2.38,2.64,2.84
11/13/2017,1.07,1.24,1.37,1.55,1.7,1.82,2.08,2.27,2.4,2.67,2.87
11/10/2017,1.06,1.23,1.37,1.54,1.67,1.79,2.06,2.27,2.4,2.67,2.88
11/9/2017,1.07,1.24,1.36,1.53,1.63,1.75,2.01,2.2,2.33,2.59,2.81
11/8/2017,1.05,1.23,1.35,1.53,1.65,1.77,2.01,2.19,2.32,2.57,2.79
11/7/2017,1.05,1.22,1.33,1.49,1.63,1.75,1.99,2.17,2.32,2.56,2.77
11/6/2017,1.03,1.19,1.3,1.5,1.61,1.73,1.99,2.17,2.32,2.58,2.8
11/3/2017,1.02,1.18,1.31,1.49,1.63,1.74,1.99,2.19,2.34,2.59,2.82
11/2/2017,1.02,1.17,1.29,1.46,1.61,1.73,2,2.21,2.35,2.61,2.83
11/1/2017,1.06,1.18,1.3,1.46,1.61,1.74,2.01,2.22,2.37,2.63,2.85
10/31/2017,0.99,1.15,1.28,1.43,1.6,1.73,2.01,2.23,2.38,2.66,2.88
10/30/2017,0.97,1.12,1.24,1.42,1.58,1.71,2,2.22,2.37,2.66,2.88
10/27/2017,0.98,1.1,1.28,1.42,1.59,1.73,2.03,2.26,2.42,2.71,2.93
10/26/2017,0.99,1.11,1.29,1.43,1.63,1.76,2.07,2.3,2.46,2.74,2.96
10/25/2017,1.01,1.12,1.27,1.43,1.61,1.74,2.06,2.28,2.44,2.72,2.95
10/24/2017,1,1.12,1.27,1.43,1.6,1.73,2.05,2.26,2.42,2.7,2.92
10/23/2017,1,1.09,1.25,1.42,1.58,1.7,2.01,2.22,2.38,2.66,2.89
10/20/2017,0.99,1.11,1.27,1.43,1.6,1.72,2.03,2.24,2.39,2.67,2.89
10/19/2017,0.99,1.1,1.25,1.41,1.58,1.69,1.98,2.18,2.33,2.6,2.83
10/18/2017,0.99,1.09,1.24,1.42,1.59,1.7,1.99,2.19,2.34,2.62,2.85
10/17/2017,0.99,1.09,1.25,1.41,1.54,1.69,1.97,2.15,2.3,2.58,2.8
10/16/2017,0.97,1.1,1.24,1.42,1.54,1.68,1.95,2.15,2.3,2.58,2.82
10/13/2017,0.97,1.09,1.26,1.39,1.51,1.64,1.91,2.12,2.28,2.58,2.81
10/12/2017,0.99,1.09,1.27,1.41,1.51,1.66,1.95,2.16,2.33,2.62,2.86
10/11/2017,1.04,1.1,1.25,1.4,1.51,1.66,1.95,2.17,2.35,2.64,2.88
10/10/2017,1.03,1.08,1.26,1.42,1.51,1.64,1.95,2.18,2.35,2.65,2.88
10/6/2017,1.03,1.07,1.22,1.35,1.54,1.66,1.97,2.2,2.37,2.68,2.91
10/5/2017,1.02,1.07,1.21,1.35,1.49,1.63,1.94,2.17,2.35,2.65,2.89
10/4/2017,1,1.08,1.21,1.33,1.47,1.62,1.92,2.15,2.33,2.64,2.87
10/3/2017,1.01,1.07,1.21,1.32,1.47,1.62,1.92,2.15,2.33,2.63,2.87
10/2/2017,0.95,1.01,1.22,1.31,1.49,1.63,1.94,2.17,2.34,2.64,2.87
9/29/2017,0.96,1.06,1.2,1.31,1.47,1.62,1.92,2.16,2.33,2.63,2.86
9/28/2017,0.97,1.06,1.18,1.31,1.45,1.59,1.89,2.13,2.31,2.63,2.87
9/27/2017,0.99,1.07,1.2,1.33,1.47,1.6,1.91,2.14,2.31,2.62,2.86
9/26/2017,0.96,1.06,1.19,1.31,1.45,1.57,1.87,2.08,2.24,2.54,2.78
9/25/2017,0.97,1.05,1.19,1.3,1.44,1.56,1.85,2.07,2.22,2.53,2.76
9/22/2017,0.97,1.03,1.19,1.3,1.46,1.58,1.88,2.1,2.26,2.57,2.8
9/21/2017,0.99,1.04,1.19,1.31,1.45,1.59,1.89,2.11,2.27,2.57,2.8
9/20/2017,0.98,1.04,1.2,1.32,1.45,1.6,1.89,2.12,2.28,2.59,2.82
9/19/2017,0.97,1.04,1.19,1.31,1.4,1.55,1.84,2.07,2.24,2.57,2.81
9/18/2017,0.96,1.05,1.18,1.3,1.4,1.54,1.83,2.06,2.23,2.56,2.8
9/15/2017,0.98,1.05,1.17,1.3,1.39,1.53,1.81,2.04,2.2,2.52,2.77
9/14/2017,0.99,1.05,1.17,1.28,1.37,1.5,1.79,2.01,2.2,2.52,2.77
9/13/2017,0.99,1.04,1.16,1.27,1.35,1.48,1.78,2.01,2.2,2.53,2.79
9/12/2017,0.99,1.03,1.16,1.27,1.33,1.46,1.75,1.99,2.17,2.52,2.78
9/11/2017,0.97,1.05,1.16,1.24,1.32,1.44,1.71,1.96,2.14,2.49,2.75
9/8/2017,0.96,1.04,1.14,1.22,1.27,1.39,1.64,1.89,2.06,2.41,2.67
9/7/2017,0.98,1.05,1.15,1.21,1.27,1.38,1.63,1.88,2.05,2.4,2.66
9/6/2017,1.04,1.07,1.17,1.24,1.3,1.42,1.69,1.93,2.1,2.46,2.72
9/5/2017,1.3,1.03,1.13,1.23,1.3,1.4,1.65,1.9,2.07,2.43,2.69
9/1/2017,0.96,1.02,1.1,1.24,1.35,1.46,1.73,1.99,2.16,2.51,2.77
8/31/2017,0.95,1.01,1.08,1.23,1.33,1.44,1.7,1.95,2.12,2.47,2.73
8/30/2017,0.96,1.03,1.11,1.23,1.33,1.44,1.72,1.97,2.15,2.49,2.75
8/29/2017,0.96,1.03,1.13,1.23,1.33,1.43,1.7,1.96,2.13,2.48,2.74
8/28/2017,0.99,0.98,1.12,1.24,1.33,1.46,1.74,1.99,2.16,2.51,2.76
8/25/2017,0.99,1.03,1.11,1.23,1.35,1.47,1.77,2,2.17,2.51,2.75
8/24/2017,0.98,1.02,1.11,1.23,1.33,1.47,1.78,2.01,2.19,2.53,2.77
